1994	intern	Diplom	EMail am Beispiel SMTP im Internet
1995	intern	Diplom	Einführung des Configuration Management-Systems PCMS zur strukturierten Versions-Release- und Änderungskontrolle in Projekten der Abteilung Information-Systems der Firma Motorola
1995	extern	Diplom	Analyse und Leistungsvergleich von zwei Echtzeitsystemen für eingebettete Anwendungen
1995	intern	Diplom	Erfassung und automatische Zuordnung von Auftragsdaten für ein Dienstleistungsunternehmen mit Hilfe von Standardsoftware - Konzeption und Realisierung
1995	extern	Diplom	Organisationskonzept zur Administration von Lehrgangsrechnern für eine DV-Fortbildungsinstitution
1995	intern	Diplom	Monte Carlo-Simulation für ein gekoppeltes Round-Robin-System
1995	intern	Diplom	Untersuchung der elektrischen Eigenschaften von Supraleitern mit Hilfe eines Gas-Kryosystems
1995	intern	Diplom	Prioritätsfreies Scheduling in verteilten Echtzeit-Systemen unter Berücksichtigung von Zeit- und Betriebsmittelanforderungen
1995	intern	Diplom	Implementierung eines Testüberdeckungsgrad-Analysators für RAS
1995	intern	Diplom	Eine objektorientierte Fuzzy-Entwicklungsumgebung - Entwurf und Implementierung des Kerns
1995	intern	Diplom	Eine objektorientierte Fuzzy-Entwicklungsumgebung - Entwurf und Implementierung der Bedienoberfläche
1995	extern	Diplom	Strukturierung und Dokumentenmanagement von Gebrauchsanweisungen auf der Basis von SGML
1995	intern	Diplom	Untersuchung von 4 Netzwerksystemen im Hinblick auf ihre Einsatzmöglichkeiten insbesondere im Weitverkehrsnetz einer EDV-Dienstleistungsfirma
1995	intern	Diplom	Erstellung eines Konzeptes zur Umstellung eines bestehenden Netzwerkmanagementsystems von CMIP/CMOL auf SNMP
1995	intern	Diplom	Migration der Bearbeitung des Schriftverkehrs der Kreissparkasse Nürnberg von einem großrechnerorientierten System auf eine Client-Server-Architektur (Arbeitstitel)
1995	intern	Diplom	Lösung von Zuordnungsproblemen unter Berücksichtigung verschiedenartiger Randbedingungen beim Verkabeln einer Vermittlungsanlage
1995	extern	Diplom	Konzeption und Realisierung eines multimedialen Sammlerkataloges am Beispiel "altes Spielzeug"
1995	intern	Diplom	Analyse und Konzeption der zukünftigen Informatikunterstützung für ein Ing.-Büro
